user_id,address,birth,card_company,card_number,email,first_name,gender,last_name,mbti,mbti_list,name,passport,password,phone_number,reg_date,username
,서울 강남구,1990-01-01,visa,1234567891011120 ,test@gmail.com,yy,여,kim,istj,ieissstttjjj,김정화,p12345678,1234,010-1234-5678,2021. 01. 22.,ki1m1
,서울 강남구,1991-04-13,master,1234567891011120 ,test@gmail.com,yy,여,kim,isfj,iiessnftfjjp,박정수,p12345679,1234,010-1234-5679,2021. 01. 22.,qw1er
,서울 강남구,1992-04-13,visa,1234567891011120 ,test@gmail.com,yy,여,kim,infj,eiinsnftfjjj,이은영,p12345680,1234,010-1234-5680,2021. 01. 22.,as1df
,서울 강남구,1989-11-17,master,1234567891011120 ,test@gmail.com,yy,여,kim,intj,iiennnttfpjj,김하하,p12345681,1234,010-1234-5681,2021. 01. 22.,po1iu
,서울 강남구,1992-05-16,visa,1234567891011120 ,test@gmail.com,yy,여,kim,istp,iiesnsfttppp,김구,p12345682,1234,010-1234-5682,2021. 01. 22.,kj1hg
,서울 강남구,1993-07-14,master,1234567891011120 ,test@gmail.com,yy,여,kim,isfp,iiessstffpjp,박소영,p12345683,1234,010-1234-5683,2021. 01. 22.,df1gh
,서울 강남구,2000-08-24,visa,1234567891011120 ,test@gmail.com,yy,여,kim,infp,irinsnftfpjp,이인자,p12345684,1234,010-1234-5684,2021. 01. 22.,zx1cc
,서울 강남구,1985-11-21,master,1234567891011120 ,test@gmail.com,yy,여,kim,intp,iiisnntftppp,정수수,p12345685,1234,010-1234-5685,2021. 01. 22.,gf1ds
,서울 강남구,2000-11-05,visa,1234567891011120 ,test@gmail.com,yy,여,kim,estp,eeesnsttfjpp,윤선영,p12345686,1234,010-1234-5686,2021. 01. 22.,df1sa
,서울 강남구,1994-05-06,master,1234567891011120 ,test@gmail.com,yy,여,kim,esfp,eiessnftfpjp,박지혜,p12345687,1234,010-1234-5687,2021. 01. 22.,gf1ry
,서울 강남구,1998-11-27,visa,1234567891011120 ,test@gmail.com,yy,여,kim,enfp,eeennnfftppp,이수영,p12345688,1234,010-1234-5688,2021. 01. 22.,kj1hg
